"1616","Execution","Using mana on creep when low – conserve for the fight(2x quill spray)."
"1650","Execution","Could turn to hit the PL"
"1702","Mechanics","Hitting tower on Int treads, should switch to Str"
"1810","Execution","Important! Kept fighting after killing PL. It’s hard to kill AM, reinforcements from tower."
"1900","Decision","Missed opportunity to buy TP at base"
"2051","Information","Didnt watch the fight – little information on what is happening"
"2131","Decision","Stay and push until enemies respawn -  should back out before"
"2232","Decision","Tabbed out too long – stand in base for 17 seconds after respawn"
"2250","Decision","Missed opportunity to buy 2nd TP at base (TP out to mid, no shop there. Want to TP top at 2350)"
"2315","Decision","Wasted dust (unlikely that riki just stands there. Also no way to kill, Riki can purge the Dust with Diffusal Blade)"
"2323","Efficiency","Could toggle Treads to Int when using Quillspray on neutrals"
"2411","Mechanics","Missed lasthit (overestimated damage)"
"2446","Mechanics","Missed lasthit (overestimated damage)"
"2451","Mechanics","Missed lasthit (focus wrong creep)"
"2453","Mechanics","Missed lasthit (left creepwave early)"
"2455","Mechanics","Missed lasthit (left creepwave early)"
"2509","Efficiency","Unnecessary Dust (sentry get placed before)"
"2528","Execution","Pushing with Ring of Basilius turned off"
"2605","Decision","Important! Went to dive into base – could finish off the melee barracks"
"2710","Efficiency","Stood in base after respawn – decide items quicker and move"
"2722","Efficiency","Walk mid – lane is pushed, nothing to do. Go bottom instead"
"2731","Efficiency","Tab out too long – hero is idle for 5 seconds"
"2830","Decision","Went to farm jungle – instead push bottom, frontline to enter dangerous space."
"2900","Mechanics","Missed lasthit (overestimated damage)"
"2918","Efficiency","Suboptimal pathing – can walk directly to mid."
"3034","Decision","Go back into fight with low health – just back and heal."
"3320","Decision","Scared to walk through wall – 4 dead, want to hit barracks."
"3510","Decision","Keep roshing without Bloodseeker and Weaver – need to back out"
"3625","Efficiency","didnt’t buy items while dead – delays moving out by 13 seconds "
"3945","Mechanics","Missed 2 lasthits (walked away/bad quill spray)"
"3957","Mechanics","Missed lasthit (didnt cast quill spray)"
"4056","Execution","Didnt cast quillspray after silence ends – missed 2 stacks"
"4100","Decision","Go into the fight after tower dies – fighting 4v5 without weaver, rather back off"
"4311","Mechanics","Missed lasthit (didnt cast quill spray)"
"4331","Mechanics","Missed lasthit (overestimated damage)"
"4346","Mechanics","Missed lasthit (switched target)"
"4348","Mechanics","Missed lasthit (hit early)"
"4349","Mechanics","Missed lasthit (hit early)"
"4357","Decision","Pushing highground with 3 heroes – wait until pudge/bloodseeker join"
"4437","Decision","Show in aggressive position! 3 allies dead"
"4600","Efficiency","Tabbed out too long – stand in base for 5 seconds after respawn"
"4636","Decision","Went alone into lost fight, rather push out a bottom/ set up in base"
"4807 ","Efficiency","Slow to move out – stand in base for 4 seconds"
"4900","Decision","Pushed in through mid – instead go bottom to hit barracks, so other lanes can push in"
"4916","Execution","Late BKB – Use at 4913 so mana doesn’t get burned by AM illusions"
"4953","Efficiency","Didn’t switch Treads to Int to TP out earlier"
"5115","Mechanics","Missed lasthit (underestimated Quill Spray range)"
"5117","Mechanics","Missed lasthit (hit early)"
"5119","Mechanics","Missed lasthit (hit early)"
"5121","Mechanics","Missed lasthit (hit wrong creep)"
"5122","Mechanics","Missed lasthit (hit wrong creep)"
"5124","Mechanics","Missed lasthit (hit early)"
"5126 ","Mechanics","Missed lasthit (cast quill spray early)"
"5127","Mechanics","Missed lasthit (switched target)"
"5128","Mechanics","Missed lasthit (cast quill spray early)"
"5205","Decision","Hitting creeps instead of barracks – no enemies nearby, 3 dead"
"5223","Execution","Didnt cast Goo to maximize Warpath stacks"
"5240","Execution","Didnt immediately back after killing the barracks (lost 2 seconds to walking around, then more to hitting DS)"
"5405","Decision","AFK for too long – stood in base for 35 seconds"
"5447","Decision","Pushing enemy base with 3 heroes (and 1 far behind) – wait until all are grouped, this gives the enemies a chance to fight"
