3050,Decision,Aggressive move on Axe,Chasing for a long time into area with no vision,"Axe is a hard kill, no ally nearby",
3052,Execution,Missed Crush after Euls,,,
3228,Efficiency,Didnt switch Treads to Intelligence before using Crush,,,
3258,Decision,Didn’t immediately push bottom with team,Leads Mirana to also move away,Delays the push,
3346,Execution,Standing too far back,Would be out of Blink range to assist team,,
3533,Efficiency,Didnt use Blink Dagger to move,"Blink over the trees enclosing the hardcamp, earlier and shorter path",,
3552,Mechanics,Missed lasthit,Hit the wrong creep,,
3555,Mechanics,Missed lasthit,Tried 2 hits,,
3558,Mechanics,Missed lasthit,Unlucky bash/didnt use Crush,,
3644,Execution,Bad use of Euls,Can just keep running out,Could use the Euls to interrupt Charge instead at 3645,
3654,Decision,Missed opportunity to buy TP,,,
3756,Execution,Stacked Stun by a bit,,,
3811,Decision,Went to chase,Instead turn to finish off Axe and group up,"Should not be able to catch Ember Spirit, instead save Sniper","Could then push, as Morphling is dead"
3905,Decision,"Blink in, try to continue fight",Should just try to secure the escape of Clinkz,,
4024,Decision,Chase into fight and Blink in,Instead help against Ember Spirit,"Should be focused to delay, fighting without Sniper",
4046,Decision,Stun on Ember Spirit,Should instead help kill off Axe,"Focused a second target, instead help allies","Dangerous position, far forward"
4337,Execution,Ran up the hill towards Sniper,Instead run left to keep enemies away from Lion and Sniper,,
4655,Execution,Bad use of Euls,"Trying to disengage, rather keep running ",Cyclone sets up enemy spells,
4738,Decision,Bad initiation on Morphling,"No way to kill only with Lion, initiated long fight",Need to delay until Sniper respawns,
