2224,Mechanics,Missed lasthit,Overestimated damage/hit wrong creep,,,
2247,Efficiency,Didnt use dagger to farm camp,,,,
2258,Efficiency,"Didnt move before controlling courier, stood for 5 seconds",,,,
2331,Efficiency,Can use Dagger from further away,,,,
2335,Efficiency,Important! Didnt use Blink Strike to kill Rosh faster (multiple times),,,,
2358,HeroBuild,Important! Went for BKB,Should get Linken’s Sphere instead,"Dangerous Spells in the game are Doom, Rupture, Fiend’s Grip – will block them, go through BKB",No lifesteal to heal up after using BKB,
2447,Execution,Didnt use Blink Strike on Axe to get closer,,,,
2543,Efficiency,Didnt use spells to kill creepwave faster,,,,
2609,Decision,Stay to farm in a very dangerous position,Enemies respawned,"Very deep, allies too far",Risk losing the aegis,Should die to Sleep → Grip
2658,Execution,Bad Dust – missclick?,,,,
2737,Efficiency,Didnt use courier (used 20 seconds later ),,,,
2746,Decision,Didnt take the DD rune,,,,
2757,Decision,Missed opportunity to bring TP with courier,,,,
2808,Efficiency,Can blink over to farm the hard camp,,,,
2936,Execution,"Unnecessary BKB use (no important spells left, Sunder/Sleep used)",,,,
2940,Execution,Missed opportunity to blink to Bloodseeker,,,,
3007,Efficiency,Can use Blink Strike to save movement time,,,,
3024,Decision,"Dangerous situation – No detection, Doom is invis, berserkes  call missed","Could die if doomed. Should back, would give up a lot of gold",,,
3052,Efficiency,Didn’t use Phase Boots to move ,,,,
3117,Efficiency,Didn’t use Phase Boots to move ,,,,
3130,Efficiency,Cut the wrong tree to get to the smallcamp,,,,
3131,Efficiency,Didnt use dagger to farm camp,,,,
3150,Efficiency,didnt use Blink Strike to farm camp,,,,
3203,Execution,\important Used Dagger into Spiked carapace,Would probably kill nyx before Omniknight dies,,,
3249 ,Efficiency,Didnt use Phase Boots,,,,
3255,Execution,Didnt use Phase Boots,,,,
3306,Execution,Didnt use Blink Strike on creep to get closer,,,,
3333,Information,Didnt watch Treant getting Doomed,Could get there to save Treant/deny/kill the Doom,,,
3334,Decision,Pushed T2 against backdoor protection,,,,
3413,Decision,Went to farm a very dangerous camp ,,,,
3554,HeroBuild,Kept Quelling blade over TP,Quelling is not importnant this late,,,
3608,Execution,"Backed too far, delayed Dagger to pull creeps, unnecessary tower damage",,,,
3609,Mechanics,Missed lasthit,Moved around too much,,,
3611,Mechanics,Missed lasthit,"Moved around too much, late dagger",,,
3724,Efficiency,Wasted Blink Strike on Axe,"Instead Dagger Roshan to break his immunity, blink on Roshan",,,
3729,Efficiency,Didn’t use Blink Strike on Roshan,,,,
3734,Execution,Didnt use BKB to enter the fight,Removes the silence to use Blink Strike!,,,
3741,Execution,Unnecessary BKB use,"no important spells left, dead anyway",,,
3913,HeroBuild,Kept Quelling blade over TP,Quelling is not importnant this late,,,
3942,Execution,Didnt use BKB in time (after call ends),Want to hit through Spiked Carapace,Lose 2.4 seconds attack time to stun,,
4022,Efficiency,Didnt use Phase Boots,,,,
4034,Efficiency,Didn’t use Blink Strike on creepwave to push faster,Save walking time and more damage,,,
4038,Efficiency,Didnt use Dagger to push faster,,,,
4103,Efficiency,Didnt use Blink Strike on AM to move faster,,,,
4115,Execution,"Bad focus, attacking Bloodseeker","Too deep, allies are busy with Doom","Kill Doom first,  so that allies can switch target","Better position when hitting Doom, esp. when affected by Rupture",
4122,Execution,Didint use Blink Strike to disengange from fight,"Can blink on Doom! Good target, can even hit.",,,
4126,Execution,Kept running with rupture on highground,"Use the Fog to stand, try to Blink after Rupture ends.",,,
4318,Decision,Took a full fight while AM is dead.,Should try to back and draw Terorrblade into chasing to stall.,,,
4319,Execution,Wasted Blink Strike on the Illusion,"Keep it for the real Terrorblade, deals more damage",,,
